"","b","hub","c"
"Solyc02g077240",0,1,13
"Solyc08g063050",0,1,12
"Solyc08g008050",0.00262647262920472,185,2
"Solyc04g006930",6.24405441537772e-06,20,5
"Solyc12g041890",3.58687341832517e-05,25,1
"Solyc01g097070",0.00184722999271398,202,2
"Solyc09g011820",3.11996093701888e-06,22,1
"Solyc06g072240",0,1,11
"Solyc04g049720",0.00098753241532976,183,2
"Solyc04g071800",0,1,3
"Solyc07g052220",0.0217229530083828,3,3
"Solyc02g085590",1.0039957020952e-07,36,5
"Solyc04g058080",0.00143759346469641,189,1
"Solyc06g082190",0.000406285184280066,154,5
"Solyc09g065600",5.3472020573773e-05,109,2
"Solyc02g093180",0,1,9
"Solyc12g094440",0.0109326095996848,4,3
"Solyc02g014030",0.022298298829491,21,3
"Solyc09g072630",0.00441245828242517,140,2
"Solyc11g042880",0.00094759500649832,167,2
"Solyc01g094360",0.00201607126244358,133,2
"Solyc01g087050",0,1,3
"Solyc06g074160",0.00229279564404901,19,1
"Solyc04g054800",0.0213168527214675,15,3
"Solyc12g014520",0,1,8
"Solyc10g009380",0.00201277059784308,10,4
"Solyc10g007800",0.0187104309702357,17,4
"Solyc01g066620",0,1,8
"Solyc06g074150",0,1,10
"Solyc03g118160",0,4,3
"Solyc03g025220",1.13558132944148e-06,25,2
"Solyc07g063170",0,1,15
"Solyc10g085740",0.000627072886790347,7,4
"Solyc01g108580",0,1,10
"Solyc12g044240",4.37742126113507e-05,3,6
"Solyc01g007160",0,1,11
"Solyc04g050620",0.0014409441239702,5,3
"Solyc06g074320",0.0043883648142879,5,3
"Solyc04g050480",0,1,4
"Solyc03g111350",0,3,7
"Solyc02g083700",0.000847706150841661,13,2
"Solyc12g096350",0.000589912697108853,13,4
"Solyc08g065210",6.5661318917026e-05,3,6
"Solyc06g075360",0.00526099495658895,13,4
"Solyc01g095360",4.45787246708755e-05,10,4
"Solyc01g088500",0.000232997300519986,133,1
"Solyc08g006240",0.0351649133989637,119,2
"Solyc09g014610",0.0043883648142879,4,3
"Solyc02g073570",4.37742126113507e-06,6,1
"Solyc08g006950",4.48620692238669e-05,121,2
"Solyc08g082890",0.00120957591993423,152,2
"Solyc06g048530",0,2,1
"Solyc07g008550",0,9,4
"Solyc08g006200",0.0043883648142879,2,1
"Solyc09g065620",0.0221820129635858,7,1
"Solyc02g065020",1.74154760108212e-05,83,2
"Solyc04g076630",0,2,6
"Solyc02g085170",0.00440006465859068,12,5
"Solyc06g008840",0,1,3
"Solyc01g006210",1.32140682896507e-05,61,2
"Solyc12g005700",0.000180769150926236,55,2
"Solyc11g071470",0.00442856032135239,29,5
"Solyc09g097930",0.0043883648142879,2,3
"Solyc01g106040",0.000261910837661212,133,2
"Solyc11g010390",1.09435531528377e-05,2,10
"Solyc04g082740",1.9148562583284e-05,11,5
"Solyc10g080370",0.0043883648142879,2,3
"Solyc10g008670",0,2,2
"Solyc01g081640",0.0114547018391237,18,3
"Solyc04g079700",0,1,1
"Solyc01g067040",0.000131372149909645,123,2
"Solyc06g076870",0.00103624384850558,93,2
"Solyc12g011360",0.00176851194453007,191,2
"Solyc04g064710",0.0131256976515135,8,1
"Solyc08g067230",0.00442010111843113,8,1
"Solyc11g005970",0,8,4
"Solyc02g092220",0.000141436250559862,71,2
"Solyc04g071100",0.00421177573538845,12,3
"Solyc02g079140",0,1,1
"Solyc01g097470",0.000650412151862823,40,2
"Solyc11g016970",0.002154348706983,15,4
"Solyc06g060160",0,2,1
"Solyc11g020930",3.2830659458513e-05,3,8
"Solyc02g086450",0.00957642460083019,5,3
"Solyc04g014750",0.000710520530032575,145,2
"Solyc12g005350",0.000317034368224941,11,4
"Solyc08g067940",4.31974206886992e-05,62,1
"Solyc01g110330",0,5,1
"Solyc03g034300",0,9,4
