"","genes","sd","mean","cof","P3_m_1","P3_m_2","P3_m_3","P4_d_1","P4_d_2,","P4_d_3","P4_p_1","P4_p_2","P4_p_3","P5_d_1","P5_d_2","P5_d_3","P5_p_1","P5_p_2","P5_p_3","P6_d_1","P6_d_2","P6_d_3","P6_p_1","P6_p_2","P6_p_3"
"41104","hab_Solyc10g054910.1.1",8.34646331596957,7.71988989684532,1.08116351754969,34.4223644354112,23.2592881251289,13.8004267044655,6.22938452443534,4.7170195049222,0.964569756579924,15.2517650221635,13.0814519643457,7.42439324161246,0,3.28281729502033,2.12181615434457,5.62695923118885,5.63488597945274,1.90392743272206,0.776545150913945,3.940800277364,2.43182512856501,7.36411463447392,5.23360753511713,4.64972573552446
"33535","hab_Solyc03g114940.2.1",150.763608355914,139.491265446564,1.08081038531884,443.119643763786,526.241393831042,364.177926923395,87.2113833420948,104.560599025775,86.8112780921932,264.046181946205,271.440128260173,205.858176244709,34.7700528287206,25.4418340364075,16.9745292347566,120.667014624383,123.263130800529,87.5806619052146,33.3914414892996,6.896400485387,36.4773769284752,27.7570474684017,49.3454424739615,13.284930672927
"39089","hab_Solyc08g068130.1.1",11.0976924353489,10.2714337552534,1.08044239000936,3.27832042242011,1.93827401042741,2.30007111741092,0.692153836048371,5.50318942240924,7.7165580526394,1.90647062777044,2.45277224331482,6.74944840146587,4.04302939868845,6.56563459004065,9.90180872027467,5.62695923118885,14.0872149486318,15.2314194617765,9.31854181096734,5.911200416046,15.4015591475784,19.2599921209318,30.6539869914003,47.1615038888909
"43173","hab_Solyc12g044820.1.1",10.80831200425,10.0090367580394,1.07985536126327,4.37109389656015,6.78395903649594,4.60014223482183,4.15292301629023,2.3585097524611,3.8582790263197,3.81294125554087,3.27036299108642,5.3995587211727,6.46884703790151,12.3105648563262,14.852713080412,3.12608846177158,4.22616448458955,4.44249734301813,16.3074481691928,31.526402218912,47.0152858189236,9.62999606046589,9.71955685093181,11.9564376056343
"11595","lyc_Solyc09g091600.2.1",5.30579066344248,4.91362756557039,1.0798113191606,1.23728801747522,1.671707257046,0,6.10641272314411,3.81065923741852,1.36070419586111,2.88523833381378,7.579355654899,0,14.7310182215596,2.64189286400577,4.89866103627115,4.65857815295882,2.89948906686914,0,19.5373546387557,14.5752993186331,3.94020553451949,7.11183040217756,2.68727643377297,0.853207787797209
"43367","hab_Solyc12g094640.1.1",458.036924078094,424.228645788517,1.07969352995184,40.9790052802514,47.4877132554716,46.0014223482183,195.187381765641,220.127576896369,250.78813671078,61.9602954025391,58.8665338395556,83.0182153380303,674.377303701233,750.9444562359,635.130302200475,99.4096130843363,91.566897166107,129.4670654251,1130.6497397307,1104.40927773126,1747.67165906206,505.29155799621,469.529361721937,565.938046666691
"39378","hab_Solyc08g078950.2.1",6.62972884169612,6.140693570837,1.07963844233844,3.82470715949013,0,0,5.53723068838697,4.7170195049222,0.964569756579924,3.81294125554087,0,0,10.51187643659,25.4418340364075,1.41454410289638,3.12608846177158,2.81744298972637,2.53856991029608,18.6370836219347,13.792800970774,8.10608376188338,7.93058499097191,10.4672150702343,5.31397226917081
"42109","hab_Solyc11g027790.1.1",8.33717449376027,7.72528887820669,1.07920553201314,14.7524419008905,19.3827401042741,35.2677571336341,9.6901537046772,18.8680780196888,2.89370926973977,7.62588251108174,7.35831672994445,3.37472420073294,4.85163527842614,4.92422594253049,0.707272051448191,1.25043538470863,4.22616448458955,1.26928495514804,3.88272575456973,0,8.91669213807172,5.09823320848194,5.23360753511713,2.6569861345854
"27043","pen_Solyc11g006010.1.1",11.2397837728873,10.4156770863954,1.07912175844701,3.73720560591426,5.44911006206968,1.93780382502862,5.06601334983353,5.41606813426382,4.34355664402517,4.15881605919665,1.64726073650637,1.31073555816976,5.66346953923601,10.7828932993662,9.95737668852038,4.20689030126915,9.07382808236656,2.84291760494057,28.2244126005901,43.0371098331241,11.8021047379909,21.3723329719933,31.8507885534643,6.84852462643456
"29410","hab_Solyc01g044250.1.1",8.37672151200849,7.76944657564161,1.07816192961166,1.09277347414004,3.87654802085482,0,2.07646150814511,0.786169917487034,3.8582790263197,1.90647062777044,0,0.674944840146588,8.08605879737689,13.9519735038364,12.0236248746192,4.37652384648021,0.704360747431592,8.25035220846225,12.4247224146231,26.600401872207,29.9925099189685,12.4623478429559,6.72892397372202,13.284930672927
