"","genes","pen$tagwise.dispersion"
"14700","Solyc08g083240.2.1",0.578000839919752
"6228","Solyc03g112360.1.1",0.288936391896545
"8613","Solyc04g081490.2.1",0.108515516854618
"14669","Solyc08g082850.2.1",0.0692474704895586
"15709","Solyc09g075430.2.1",0.180814263008634
"3664","Solyc02g077480.1.1",0.540367751982033
"17522","Solyc11g005680.1.1",0.107299820517015
"3905","Solyc02g080810.2.1",0.581326764852506
"18143","Solyc11g028100.1.1",0.0735439574124577
"7987","Solyc04g071140.2.1",0.433202726105106
"12719","Solyc07g053650.2.1",0.116871802744808
"11074","Solyc06g068140.2.1",0.0801451093006899
"4909","Solyc02g094470.2.1",0.13703402174496
"10115","Solyc06g005710.2.1",0.550900102505873
"9059","Solyc05g009600.2.1",0.0498302425182771
"1262","Solyc01g087730.2.1",0.258375533621169
"7337","Solyc04g009770.2.1",0.0650653785660131
"17562","Solyc11g006250.1.1",0.291034902058983
"11447","Solyc06g074300.2.1",0.148404582713148
"8620","Solyc04g081570.2.1",0.119725589327495
"5740","Solyc03g082490.2.1",0.0888871277038316
"13805","Solyc08g062800.2.1",0.106962628734388
"17909","Solyc11g012110.1.1",0.128993339604948
"204","Solyc01g005440.2.1",0.132893192862534
"2276","Solyc01g105030.2.1",0.670954479613533
"1801","Solyc01g097760.2.1",0.180355274269965
"8305","Solyc04g077440.2.1",0.142484338298577
"8083","Solyc04g072670.2.1",0.0537374448173379
"14827","Solyc09g007540.2.1",0.0501255776694728
"17485","Solyc11g005170.1.1",0.0637456161119521
"12858","Solyc07g055950.2.1",0.594340880346843
"11362","Solyc06g073300.1.1",0.19583904706601
"6176","Solyc03g111640.2.1",0.279715070514961
"15229","Solyc09g018450.2.1",0.127353745710204
"16250","Solyc10g006580.2.1",0.217990277982246
"2975","Solyc02g036350.2.1",1.00316415118979
"19549","Solyc12g042080.1.1",0.119789595331572
"220","Solyc01g005620.2.1",0.0853450433913295
"19607","Solyc12g044280.1.1",0.637837045997189
"18763","Solyc11g072190.1.1",0.0753245915788171
"17051","Solyc10g079880.1.1",0.110870209304915
"10546","Solyc06g050980.2.1",0.12346299943639
"11622","Solyc06g082090.2.1",0.159570682866568
"15007","Solyc09g010100.2.1",0.12931367860893
"14063","Solyc08g074240.2.1",0.0895479206423084
"18841","Solyc11g073250.1.1",0.369104644172289
"17803","Solyc11g010470.1.1",0.151575868023973
"17875","Solyc11g011470.1.1",0.0444545807225489
"12999","Solyc07g063100.2.1",0.0527099130594021
"1668","Solyc01g096070.2.1",0.295197808936807
"18786","Solyc11g072490.1.1",0.0699546836302334
"8590","Solyc04g081240.2.1",1.07192718520181
"11884","Solyc07g005810.2.1",0.0576233106843372
"7847","Solyc04g054740.2.1",0.491322845088526
"11848","Solyc07g005390.2.1",0.0851095305506928
"11623","Solyc06g082100.2.1",0.202325647258618
"15240","Solyc09g018750.2.1",0.135635775966649
"11904","Solyc07g006030.2.1",0.192266938587608
"19991","Solyc12g096540.1.1",0.077126081786539
"13560","Solyc08g014340.2.1",0.238512002149555
"3458","Solyc02g070260.2.1",0.183016398843263
"2051","Solyc01g101000.2.1",0.0833220701838974
"8898","Solyc05g007250.2.1",0.0962774777480201
"2560","Solyc01g109300.2.1",0.319709252311287
"13134","Solyc07g064970.2.1",0.118147812839912
"16073","Solyc09g097770.2.1",0.649421612910346
"11200","Solyc06g070980.2.1",0.231044162089909
"16117","Solyc09g098360.2.1",0.0547900003231071
"19973","Solyc12g096300.1.1",0.220212020860784
"6143","Solyc03g111230.2.1",0.176423922282599
"11480","Solyc06g074790.1.1",0.259239088376932
"455","Solyc01g008970.2.1",0.0623639253349263
"11143","Solyc06g069090.2.1",0.146362350416039
"9461","Solyc05g023800.2.1",0.0592639233983794
"17911","Solyc11g012140.1.1",0.0796797391879029
"16212","Solyc10g006070.2.1",0.163252639449216
"394","Solyc01g008110.2.1",0.117996815151132
"10802","Solyc06g061070.2.1",0.480153450948728
"7821","Solyc04g054190.2.1",0.329422916039466
"8312","Solyc04g077510.2.1",0.669847217907946
"2067","Solyc01g101240.2.1",0.0840461494008366
"13226","Solyc07g066150.1.1",0.70804489036556
"6916","Solyc03g121180.2.1",0.0801246382422813
"485","Solyc01g009420.2.1",0.117302768789843
"16871","Solyc10g075100.1.1",0.149246194530406
"5479","Solyc03g045050.2.1",0.0627554723557993
"8221","Solyc04g076380.2.1",0.0675224230594611
"6661","Solyc03g118040.2.1",0.100675716409635
"15282","Solyc09g031780.2.1",0.153842955287737
"15646","Solyc09g074520.2.1",0.0794195236163643
"1062","Solyc01g080020.2.1",0.342202181782356
"20166","Solyc12g100330.1.1",0.511090856598468
"15289","Solyc09g031970.2.1",0.235596162819054
"12637","Solyc07g052350.2.1",0.190458930687749
"6622","Solyc03g117590.2.1",0.405327449768737
"10047","Solyc05g056310.2.1",0.184912136057862
"18870","Solyc12g005270.1.1",0.14772839013875
"9293","Solyc05g013990.2.1",0.188980261168148
"12861","Solyc07g056020.2.1",0.204747824699706
"19681","Solyc12g055800.1.1",0.0502630973408399
"14048","Solyc08g069030.2.1",0.139221713497169
"3258","Solyc02g067460.2.1",0.0966754432475654
"16136","Solyc10g005050.2.1",0.588508824579669
"16209","Solyc10g006030.2.1",0.342779662437411
"10981","Solyc06g065710.2.1",0.115098780125393
"16727","Solyc10g051110.1.1",0.411252363449941
"17113","Solyc10g080710.1.1",0.0509576481601458
"4548","Solyc02g089620.2.1",0.193754723459396
"16915","Solyc10g076990.1.1",0.059485769365437
"9980","Solyc05g055440.1.1",0.465742338155999
"11570","Solyc06g076360.2.1",0.120470430401429
"7837","Solyc04g054480.2.1",0.0678109823002559
"14608","Solyc08g082070.2.1",0.585764113573255
"12486","Solyc07g044840.2.1",0.0622686536311983
"2233","Solyc01g104470.2.1",0.061072721380541
"17560","Solyc11g006230.1.1",0.98545400679068
"11736","Solyc06g083620.2.1",0.0738883674982806
"13404","Solyc08g006930.2.1",0.849617295005814
"9088","Solyc05g009980.2.1",0.073944994943866
"1309","Solyc01g088370.2.1",0.126696689572317
"992","Solyc01g079090.2.1",0.153990370933747
"17953","Solyc11g012770.1.1",0.114611352285286
"3973","Solyc02g081810.2.1",0.40672010780978
"15563","Solyc09g065910.1.1",0.620189285562375
"718","Solyc01g056940.2.1",0.162969069951123
"4979","Solyc03g005750.2.1",0.0913480356364092
"11144","Solyc06g069120.2.1",0.0896341448787289
"6949","Solyc03g121600.2.1",0.222621854662845
"16692","Solyc10g049710.1.1",0.193397859040387
"16126","Solyc09g098540.2.1",0.0929163026838955
"1530","Solyc01g094340.2.1",0.417506361891631
"12075","Solyc07g008370.2.1",0.114888615262959
"7238","Solyc04g008460.2.1",0.150906007102176
"6683","Solyc03g118290.2.1",0.0600944693243905
"11665","Solyc06g082670.2.1",0.104647162289497
"19831","Solyc12g088290.1.1",0.124817725029723
"14928","Solyc09g009030.2.1",0.284221960897243
"14110","Solyc08g075090.2.1",0.162387848487323
"13100","Solyc07g064510.2.1",0.0525784455317336
"9479","Solyc05g025600.1.1",0.490087283258424
"8776","Solyc05g005620.2.1",0.0596784890864907
"2471","Solyc01g108030.2.1",0.693702903732622
"4511","Solyc02g089070.2.1",0.0647903364886812
"17737","Solyc11g008620.1.1",0.518615541385833
"1047","Solyc01g079790.2.1",0.440289636423192
"9769","Solyc05g052510.2.1",0.0478719418446172
"18454","Solyc11g066110.1.1",0.261782699353657
"11345","Solyc06g073090.2.1",0.462842632267937
"17045","Solyc10g079820.1.1",0.267269966386113
"8571","Solyc04g080960.2.1",0.38581498617638
"8017","Solyc04g071660.2.1",0.596755640427075
"16408","Solyc10g008910.1.1",0.465754630078667
"3750","Solyc02g078640.2.1",0.0846044458844118
"12793","Solyc07g054820.2.1",0.356260749178944
"9837","Solyc05g053470.2.1",0.290876367890818
"6888","Solyc03g120850.2.1",0.179126477516885
"1955","Solyc01g099830.2.1",0.133399555189993
"1785","Solyc01g097520.2.1",0.30981074029173
"11005","Solyc06g066060.2.1",0.112444232055063
"17781","Solyc11g010200.1.1",0.0703700305961655
"19951","Solyc12g096000.1.1",0.0513256716094854
"13731","Solyc08g060810.2.1",0.156282293477268
"17423","Solyc10g086150.1.1",0.28419887739958
"5815","Solyc03g083530.2.1",0.100197583633456
"970","Solyc01g073750.2.1",0.140279767659308
"15671","Solyc09g074940.1.1",0.0765124902344934
"11365","Solyc06g073330.2.1",0.0969000798277955
"13952","Solyc08g067330.1.1",0.571427830573895
"8784","Solyc05g005710.2.1",0.0658302254959185
"17685","Solyc11g007920.1.1",0.402766463053678
"19987","Solyc12g096500.1.1",0.271347967393156
"14560","Solyc08g081320.2.1",0.0664369277565222
"6173","Solyc03g111610.2.1",0.716170080372888
"5981","Solyc03g096850.2.1",0.365014416943647
"11000","Solyc06g066000.1.1",0.467772942068768
"14709","Solyc08g083330.2.1",0.53570295758158
"15701","Solyc09g075290.2.1",0.138744111068028
"18148","Solyc11g030600.2.1",0.36553222279436
"5071","Solyc03g007050.2.1",0.695567328170566
"896","Solyc01g067660.2.1",0.474676800199796
"11830","Solyc07g005100.2.1",2.1316544485566
"3523","Solyc02g071180.2.1",0.0946367008060556
"6748","Solyc03g119130.2.1",0.223186506805155
"6603","Solyc03g117360.2.1",0.0774267579896603
"2040","Solyc01g100870.2.1",0.06671171574661
"15257","Solyc09g020130.2.1",0.0532765830274149
"7449","Solyc04g014720.2.1",0.063903844291584
"2610","Solyc01g109940.2.1",0.0493053872390629
"17462","Solyc10g086730.1.1",0.689711145423317
"15475","Solyc09g064590.2.1",0.101100796097445
"19211","Solyc12g011280.1.1",0.666567365422635
"6215","Solyc03g112230.2.1",0.107167289029615
"13750","Solyc08g061320.2.1",0.120453681819028
"9085","Solyc05g009930.2.1",0.580331418948166
"2039","Solyc01g100860.2.1",0.0919353075914177
"7391","Solyc04g011510.2.1",0.0812544662789976
"18202","Solyc11g040370.1.1",0.0778948474911889
"14323","Solyc08g078010.2.1",0.28260569739963
"12612","Solyc07g049720.2.1",0.0640018536065952
"4697","Solyc02g091840.2.1",0.104973315851671
"13292","Solyc08g005270.2.1",0.0784317415998021
"2189","Solyc01g103800.2.1",0.110650997646971
"19785","Solyc12g062870.1.1",0.0622775103839911
"18514","Solyc11g066870.1.1",0.12450031148811
"5624","Solyc03g065250.2.1",0.192460068673052
"15815","Solyc09g082990.2.1",0.0912375488292357
"9939","Solyc05g054920.2.1",0.128898302313805
"18338","Solyc11g062010.1.1",0.144160059193811
"18842","Solyc11g073260.1.1",0.394521606283763
"8493","Solyc04g079970.2.1",0.161134855343667
"11978","Solyc07g007120.2.1",0.0633366847051646
"18172","Solyc11g039650.1.1",0.0425720307074334
"8646","Solyc04g081970.2.1",0.462294769035233
"14411","Solyc08g079180.2.1",0.211520883532066
"15183","Solyc09g015080.2.1",0.531072947635313
"9132","Solyc05g010810.1.1",0.178065008500519
"1463","Solyc01g091530.2.1",0.152430605083111
"12148","Solyc07g016150.2.1",0.0705912554193605
"9210","Solyc05g012790.2.1",0.183857483184214
