"","genes","bcv"
"34971","pen_Solyc01g098720.2.1",1.22970555770555
"49738","hab_Solyc02g081350.2.1",1.228245662
"11971","lyc_Solyc06g017860.1.1",1.227487177
"35058","pen_Solyc07g053550.1.1",1.22732435806265
"30225","pen_Solyc02g087110.2.1",1.2268551577851
"13253","lyc_Solyc01g111030.1.1",1.226750804
"32134","pen_Solyc03g098710.1.1",1.22174170915085
"51017","hab_Solyc09g075930.1.1",1.218587579
"49087","hab_Solyc01g100600.2.1",1.217876373
"35188","pen_Solyc03g120360.1.1",1.21735059777135
"29849","pen_Solyc12g096770.1.1",1.21636749993556
"35207","pen_Solyc01g098020.2.1",1.21465354069009
"29273","pen_Solyc07g040960.1.1",1.21033844054217
"10166","lyc_Solyc01g107370.2.1",1.21031592
"27735","pen_Solyc04g025040.1.1",1.20978240691144
"50968","hab_Solyc06g069420.2.1",1.209414199
"32239","pen_Solyc04g014750.1.1",1.20762089049669
"45101","hab_Solyc02g081120.2.1",1.207582384
"4303","lyc_Solyc06g048530.2.1",1.206796632
"9824","lyc_Solyc01g066680.2.1",1.206786855
"23963","pen_Solyc02g092820.2.1",1.20450424291585
"43008","hab_Solyc02g079320.2.1",1.203296725
"44161","hab_Solyc09g097890.2.1",1.202058028
"30838","pen_Solyc05g007850.1.1",1.20026064047658
"31702","pen_Solyc11g073120.1.1",1.1975492698052
"14021","lyc_Solyc04g016210.2.1",1.196478503
"25713","pen_Solyc01g102610.2.1",1.19606847113071
"11751","lyc_Solyc05g018780.1.1",1.194942584
"13341","lyc_Solyc11g027790.1.1",1.193687769
"29625","pen_Solyc05g053760.2.1",1.19200638759318
"31400","pen_Solyc01g067040.1.1",1.19132794972576
"31999","pen_Solyc06g069880.1.1",1.19055310310974
"21741","pen_Solyc08g081710.2.1",1.18902059633486
"34460","pen_Solyc02g089420.1.1",1.18869215696624
"11014","lyc_Solyc03g116820.2.1",1.188058585
"26978","pen_Solyc12g099200.1.1",1.18768615071744
"49448","hab_Solyc07g053350.2.1",1.187262554
"20389","pen_Solyc01g087260.2.1",1.1861183794376
"33108","pen_Solyc06g074150.2.1",1.1860704837703
"32962","pen_Solyc07g054940.1.1",1.18547542709173
"33548","pen_Solyc01g109090.2.1",1.18546303767205
"12277","lyc_Solyc07g006230.1.1",1.185417073
"48482","hab_Solyc12g010800.1.1",1.184069852
"49729","hab_Solyc06g071830.2.1",1.183240765
"31595","pen_Solyc11g012680.1.1",1.17990144379568
"32423","pen_Solyc02g030300.2.1",1.17945291369754
"27445","pen_Solyc08g081400.2.1",1.17888802323245
"1338","lyc_Solyc07g006380.2.1",1.178873428
"32240","pen_Solyc05g015800.2.1",1.17757951085667
"20002","pen_Solyc11g044910.1.1",1.17608998013076
"20447","pen_Solyc11g012360.1.1",1.17490879859323
"21384","pen_Solyc10g051140.1.1",1.17248690942801
"33872","pen_Solyc01g109230.2.1",1.17195562226684
"31940","pen_Solyc10g051020.1.1",1.17140709934002
"48048","hab_Solyc08g081620.2.1",1.169537728
"49722","hab_Solyc03g093180.1.1",1.167226872
"33304","pen_Solyc08g080990.2.1",1.16692275696496
"18821","pen_Solyc09g010800.2.1",1.16626601153052
"45262","hab_Solyc05g026490.2.1",1.165791373
"27522","pen_Solyc05g007870.1.1",1.16561619654417
"25314","pen_Solyc01g081060.2.1",1.16114355162223
"46364","hab_Solyc03g111130.1.1",1.161128238
"42369","hab_Solyc09g063070.2.1",1.160697721
"52194","hab_Solyc06g072230.1.1",1.159155315
